experiment	lariat_id	lariat_count_WT	lariat_count_DBR1_KO	total_alu_count	pos_alu_count	neg_alu_count	alu_ir_pair_count	alu_category	total_reads_DBR1_KO	total_reads_WT
1	chr5_-_77424945_77423988	1	0	0	0	0	0	no_alu	285887559	246574313
1	chr16_-_2013150_2012931	4	7	0	0	0	0	no_alu	285887559	246574313
1	chr8_-_110293197_110292548	2	0	0	0	0	0	no_alu	285887559	246574313
1	chr7_+_100802478_100803692	1	0	0	0	0	0	no_alu	285887559	246574313
1	chr2_+_182793006_182794285	1	0	2	0	2	0	non_ir_multi_alu	285887559	246574313
1	chr3_-_123219362_123218513	1	0	0	0	0	0	no_alu	285887559	246574313
1	chr3_-_49318177_49316344	1	0	2	2	0	0	non_ir_multi_alu	285887559	246574313
1	chr7_+_116417524_116418819	2	0	0	0	0	0	no_alu	285887559	246574313
1	chr16_+_2285003_2285129	3	0	0	0	0	0	no_alu	285887559	246574313
1	chr17_-_80022699_80022130	2	8	0	0	0	0	no_alu	285887559	246574313
1	chr11_+_43911379_43923003	1	0	4	2	2	2	ir_alu	285887559	246574313
1	chr6_-_117900063_117898677	1	0	0	0	0	0	no_alu	285887559	246574313
1	chr9_-_86591910_86590661	6	0	0	0	0	0	no_alu	285887559	246574313
1	chr3_+_152163329_152165353	2	0	0	0	0	0	no_alu	285887559	246574313
1	chr20_+_3563002_3564539	1	0	1	1	0	0	non_ir_single_alu	285887559	246574313
1	chr7_-_99697212_99697079	2	0	0	0	0	0	no_alu	285887559	246574313
1	chrX_-_131518691_131516491	1	0	0	0	0	0	no_alu	285887559	246574313
1	chr2_+_122513422_122513587	1	0	0	0	0	0	no_alu	285887559	246574313
1	chr19_-_48718597_48715249	1	0	2	0	2	0	non_ir_multi_alu	285887559	246574313
1	chr1_-_43852260_43852091	2	0	0	0	0	0	no_alu	285887559	246574313
1	chr19_+_39908333_39908541	2	0	0	0	0	0	no_alu	285887559	246574313
1	chr8_+_16944545_16947973	1	0	0	0	0	0	no_alu	285887559	246574313
1	chr7_+_135329767_135330216	2	0	0	0	0	0	no_alu	285887559	246574313
1	chr16_+_55363224_55363491	1	0	0	0	0	0	no_alu	285887559	246574313
1	chr22_+_47069712_47070531	2	0	0	0	0	0	no_alu	285887559	246574313
1	chr2_-_86389099_86386798	1	0	4	2	2	2	ir_alu	285887559	246574313
1	chr16_-_3832685_3831327	3	0	0	0	0	0	no_alu	285887559	246574313
1	chr9_+_106856768_106857595	3	0	0	0	0	0	no_alu	285887559	246574313
1	chr2_-_179464281_179464162	2	0	0	0	0	0	no_alu	285887559	246574313
1	chr6_-_43493577_43493403	1	0	0	0	0	0	no_alu	285887559	246574313
1	chr6_-_108375694_108375199	2	0	0	0	0	0	no_alu	285887559	246574313
1	chr21_-_34638368_34638061	1	0	0	0	0	0	no_alu	285887559	246574313
1	chr8_-_126103857_126103501	1	0	0	0	0	0	no_alu	285887559	246574313
